"Id, First_Name, Last_Name, Email, Salary"
32128606-1109-4659-85c4-00f12d6637db,Kelli,Glenn,kelliglenn@gmail.com,868022.06
9d53d9be-d2e5-4384-ab10-770126a4fe25,Kyle,Hammond,kylehammond@gmail.com,611022.02
ee430b82-30ce-4fb5-bfcd-eda0b37f1a1e,Nichole,Kim,nicholekim@gmail.com,984011.59
9a443bb0-b5e6-4be7-944a-c5c8451eedeb,Deborah,Robbins,deborahrobbins@gmail.com,874558.27
917b8256-74c5-4923-b30c-d5f3e7fd90a1,Trevor,Romero,trevorromero@gmail.com,345455.98
6d5765f1-0884-4234-9d8f-9b8babafa2ab,Michael,Parker,michaelparker@gmail.com,891418.65
2c4327d6-3a5b-49bb-bd18-cf86e4df4e0b,Miguel,Martin,miguelmartin@gmail.com,37631.68
3ca0e139-01a7-4d70-858e-e0e49fc52ce1,Kristin,Ellis,kristinellis@gmail.com,878334.52
ad557c3d-dad1-47db-a2cb-3b79f2da83e9,Mitchell,Hall,mitchellhall@gmail.com,947741.34
4bf2ae62-1abf-4574-a8db-ec7500acf405,Wanda,Cochran,wandacochran@gmail.com,643749.53
100f5e37-7d05-45d4-a8a2-afb37f80a824,Michael,Martinez,michaelmartinez@gmail.com,448210.36
1fc2f419-53c4-4999-a15b-86f40011adfe,Erica,Gilbert,ericagilbert@gmail.com,964422.75
67a513d0-8ac9-4635-a420-e5d7cf11326d,Gary,Jenkins,garyjenkins@gmail.com,396859.09
6836cf21-19b9-4c7d-a727-d6138333e2f6,Julie,Richards,julierichards@gmail.com,88730.80
d6d91a1f-8ab7-44ec-9a0a-0d38d105fd50,Cassandra,Allen,cassandraallen@gmail.com,932058.15
4c0594f1-5c20-478a-9a7d-9682055df77e,Marisa,Price,marisaprice@gmail.com,646962.60
31cafd2f-5cef-4b73-81cd-d30ad07b3455,Andrea,Hill,andreahill@gmail.com,689516.14
edc32ace-bca7-4633-af2e-4eafacdb57cf,Carl,Murray,carlmurray@gmail.com,723813.41
52797bc1-76b4-4034-9f61-4e082b9b2c9e,Erica,Brewer,ericabrewer@gmail.com,237463.80
edc92de1-22d8-49b6-9c84-133c21141ec2,Angela,Mitchell,angelamitchell@gmail.com,962796.78
ef4b06f4-71dd-4624-9fa4-f4bbd33e77b8,Christian,Johnson,christianjohnson@gmail.com,241121.92
32e79d30-7019-48f3-85f6-2c9640c5e1cb,Rachel,Kennedy,rachelkennedy@gmail.com,826673.23
c40bc0e9-f89c-4369-966f-7bb153775257,Joseph,Sanchez,josephsanchez@gmail.com,325401.72
049fdab1-25df-4ce9-b79b-4e9d143a2319,Zachary,Andrews,zacharyandrews@gmail.com,929013.28
5901bc5b-4654-4d8f-98b9-eb3d95350400,Amber,Castillo,ambercastillo@gmail.com,214541.74
3cc514dd-dc1e-4bd3-94de-dfdcd3e0f012,Brett,Clements,brettclements@gmail.com,438849.45
b7040d6e-6285-4b59-8eda-29f43b68c034,Katelyn,Thompson,katelynthompson@gmail.com,720916.76
3ddc1987-659f-492e-b76f-eebeaeaf76ad,Alicia,Miller,aliciamiller@gmail.com,584366.33
48968b71-da85-44bc-9341-1ac0286eef93,Jacob,Miller,jacobmiller@gmail.com,506580.39
906ca27c-b2ff-444c-be0b-862a5f8be1d0,Steven,Morris,stevenmorris@gmail.com,78520.88
256fe8fb-b707-4d0d-8522-835f8a879d6d,Peter,Fleming,peterfleming@gmail.com,730514.03
402dcf89-5b32-4297-a4fc-7e5b71f669a7,Jacob,Rhodes,jacobrhodes@gmail.com,967873.62
8fe4fd11-1411-47e9-a1f4-6d10a5d36ed2,Robert,Powell,robertpowell@gmail.com,361553.19
1146aaf7-4ecc-4c97-99a0-f02b82e4041c,Melissa,Horn,melissahorn@gmail.com,693632.24
5df98d71-e116-4e0e-9366-be344461d728,Megan,Wilson,meganwilson@gmail.com,376457.40
90802ff2-69d0-4808-9f99-da6277c6cd7b,Adam,Figueroa,adamfigueroa@gmail.com,981945.09
b739579c-87bc-45c5-a5bc-4c80d6510e12,Vanessa,Bell,vanessabell@gmail.com,779816.28
7040556a-17d5-4c29-a377-72313ee6e97b,Jeffery,Wilson,jefferywilson@gmail.com,183260.07
7c7897d5-2685-4d3a-9a87-a2ab42648c09,Amy,Long,amylong@gmail.com,559344.19
e50b9dab-2d1b-4297-992f-f5c7cd020028,Debra,Washington,debrawashington@gmail.com,98709.65
9c6c1eff-1995-4a83-a7e4-af6ab1eba2e7,Nicole,White,nicolewhite@gmail.com,167040.93
4bb7b1f9-d4c0-43e1-b0e9-e89e6c8e1664,Jennifer,Collins,jennifercollins@gmail.com,656470.50
54b87990-1fb4-4b87-8c43-12987086c407,Andrew,Murray,andrewmurray@gmail.com,782274.96
51d630cf-c4d1-475a-ab2b-408c274c6cc0,Jessica,Lang,jessicalang@gmail.com,500091.74
fb0e4056-a9b4-4ecb-bd05-ecb9c8f3b9ef,Lisa,Payne,lisapayne@gmail.com,82595.74
580e3abb-34eb-44c9-9c82-6b9ad011b7fa,Veronica,Simon,veronicasimon@gmail.com,476310.40
